Topic,Count,Name,Representation,Representative_Docs,Semantic_Coherence
10,84,10_retirar correios_pois paguei_chegou casa_pagar frete,"['retirar correios', 'pois paguei', 'chegou casa', 'pagar frete', 'fiz compra', 'agência correios', 'produto fiquei', 'paguei frete', 'entregaram', 'cobraram']","['não foi entregue em casa tive que buscar no correio', 'Tive que ir buscar no correio. Paguei frete p entregar na minha residência!', 'não recebi...paguei o frete p chegar em casa e nao pra eu ir no correio retirar ...']",0.554436
11,77,11_carregador_bateria_cabo_aparelho,"['carregador', 'bateria', 'cabo', 'aparelho', 'carregar', 'chegou embalagem', 'celular', 'caixa', 'cartão', 'funciona produto']","['Paguei por um cabo e um carregador de celular. Porém recebi somente o carregador.', 'Recebi o carregador, mas ele esta com defeito no cabo. Preciso que troque o cabo do carregador. Fiz vários testes e o defeito é no cabo. Como faço para efetuar a troca do cabo.', 'Comprei um cabo Apple carregador de bateria de celular e recebi um cabo USB de computador made in China sem sequer marca.']",0.4788956
12,75,12_produto péssima_nao gostei_péssima qualidade_diferente comprei,"['produto péssima', 'nao gostei', 'péssima qualidade', 'diferente comprei', 'qualidade ruim', 'baixa qualidade', 'gostei produto', 'produto baixa', 'achei produto', 'produto achei']","['não gostei do produto', 'Não gostei do produto', 'Muito inferior este produto Não gostei']",0.528642
13,70,13_entrega atrasada_atraso entrega_demora entrega_entrega demora,"['entrega atrasada', 'atraso entrega', 'demora entrega', 'entrega demora', 'prazo entrega', 'entrega demorada', 'entrega prazo', 'entrega demorado', 'prazo estipulado', 'tempo entrega']","['Não respeitou o prazo da entrega', 'Não cumpriu com o prazo de entrega', 'Não cumpriu o prazo de entrega.']",0.8605331
14,67,14_nao recebi_nada produto_produto nao_faltando produto,"['nao recebi', 'nada produto', 'produto nao', 'faltando produto', 'produto recebi', 'produto faltando', 'recebi produto', 'recebi produtos', 'produto demorou', 'veio incompleto']","['nao recebi meu produto | nao recebi meu produto', 'nao recebi o produto | nao recebi o produto', 'Nao recebi o lustre de bola o quadro foi entregue. | Nao recebi o lustre de bola o quadro foi entregue. | Nao recebi o lustre de bola o quadro foi entregue. | Nao recebi o lustre de bola o quadro foi entregue. | Nao recebi o lustre de bola o quadro foi entregue. | Nao recebi o lustre de bola o quadro foi entregue.']",0.64952976
15,66,15_errado produto_produto errado_produto defeito_produto avariado,"['errado produto', 'produto errado', 'produto defeito', 'produto avariado', 'infelizmente produto', 'veio defeito', 'produto pessima', 'produto mal', 'defeito funciona', 'produto ruim']","['O produto veio com defeito', 'O produto veio com defeito !', 'Esse produto veio com defeito']",0.7552956
16,65,16_impressora_impressão_tinta_embalagem produto,"['impressora', 'impressão', 'tinta', 'embalagem produto', 'produto falsificado', 'embalagem', 'falsificado', 'veio incompleto', 'incompatível', 'produto original']","['Adquiri no site lannister os Cartuchos 933XL Cian e 932XL Preto, ambos originais HP nos descritivos, 03 unidades de cada cor. Recebi 2 pacotes, contendo 01(um) cartucho cian em cada e não originais. | Adquiri no site lannister os Cartuchos 933XL Cian e 932XL Preto, ambos originais HP nos descritivos, 03 unidades de cada cor. Recebi 2 pacotes, contendo 01(um) cartucho cian em cada e não originais. | Adquiri no site lannister os Cartuchos 933XL Cian e 932XL Preto, ambos originais HP nos descritivos, 03 unidades de cada cor. Recebi 2 pacotes, contendo 01(um) cartucho cian em cada e não originais. | Adquiri no site lannister os Cartuchos 933XL Cian e 932XL Preto, ambos originais HP nos descritivos, 03 unidades de cada cor. Recebi 2 pacotes, contendo 01(um) cartucho cian em cada e não originais. | Adquiri no site lannister os Cartuchos 933XL Cian e 932XL Preto, ambos originais HP nos descritivos, 03 unidades de cada cor. Recebi 2 pacotes, contendo 01(um) cartucho cian em cada e não originais. | Adquiri no site lannister os Cartuchos 933XL Cian e 932XL Preto, ambos originais HP nos descritivos, 03 unidades de cada cor. Recebi 2 pacotes, contendo 01(um) cartucho cian em cada e não originais.', 'tive problemas com o cartucho preto. Minha impressora exibe a mensagem de cartucho danificado ou não reconhecido.', 'o cartucho não funciona na minha impressora hp, o chip do cartucho não é do mesmo tamanho dos cartuchos que servem para essa impressora, não e´compativel com hp 4280 , não é cartucho h 60 xl']",0.51043284
17,60,17_produto nao_produto nunca_produto errado_produto entregue,"['produto nao', 'produto nunca', 'produto errado', 'produto entregue', 'produto infelizmente', 'produto comprado', 'entregue produto', 'nao entregue', 'produto entrega', 'entregou produto']","['Produto não entregue.', 'O produto não foi entregue', 'Esse produto não foi entregue']",0.7019598
18,60,18_nao recebi_nada comprei_recebi nenhum_nada produto,"['nao recebi', 'nada comprei', 'recebi nenhum', 'nada produto', 'produto nada', 'recebi produto', 'produto recebi', 'produto nao', 'comprei produto', 'mercadoria recebi']","['nao recebi o produto', 'Nao recebi o produto!', 'Nao recebi o produto']",0.6485424
19,58,19_passou prazo_prazo chegou_chegou prazo_prazo ainda,"['passou prazo', 'prazo chegou', 'chegou prazo', 'prazo ainda', 'dentro prazo', 'entregue prazo', 'ainda prazo', 'prazo previsto', 'prazo', 'prazo entrega']","['Já passou do prazo previsto e nada ainda, o relógio é para presente e a data até passou, se demorarem mais, quero reembolso', 'Dentro do prazo previsto. | Dentro do prazo previsto.', 'n sei oq esta acontecendo, se a culpa é dos correios ou n ja passou do prazo de entrega e nd ainda ja esta a 11 dias parado so em um lugar ate a data de hj 26/03/2018 n sei oq fazer | n sei oq esta acontecendo, se a culpa é dos correios ou n ja passou do prazo de entrega e nd ainda ja esta a 11 dias parado so em um lugar ate a data de hj 26/03/2018 n sei oq fazer | n sei oq esta acontecendo, se a culpa é dos correios ou n ja passou do prazo de entrega e nd ainda ja esta a 11 dias parado so em um lugar ate a data de hj 26/03/2018 n sei oq fazer']",0.89951247
20,57,20_chegou nada_faltando peça_nada_alguma,"['chegou nada', 'faltando peça', 'nada', 'alguma', 'veio faltando', 'nenhum', 'nenhuma', 'nao veio', 'sequer', 'faltando']","['nao ecebi prodoutos', 'Veio faltando peça', 'faltando peça!']",0.7910892
21,57,21_produto pequeno_tamanho_pequeno_produto porém,"['produto pequeno', 'tamanho', 'pequeno', 'produto porém', 'infelizmente produto', 'pequena', 'maior', 'pouco', 'menor', 'produto bem']","['So nao gostamos do tamanho,mas reconhecemos o nosso erro em nao reparar o tamanho na descricao do produto.', 'Achei o tamanho muito pequeno', 'Comprei a camisa tamanho 6 e foi enviado no tamanho 7']",0.61942536
22,55,22_otimo_regular_demorou_bom,"['otimo', 'regular', 'demorou', 'bom', '', '', '', '', '', '']","['otimo', 'otimo | otimo', 'Otimo']",0.85689086
23,55,23_aguardando produto_produto aguardando_ainda aguardando_ainda aguardo,"['aguardando produto', 'produto aguardando', 'ainda aguardando', 'ainda aguardo', 'ainda esperando', 'aguardando ainda', 'aguardando resposta', 'aguardando', 'produto aguardo', 'esperando']","['estou aguardando o recebimento do produto | estou aguardando o recebimento do produto', 'Esta faltando um produto .Estou aguardando..... | Esta faltando um produto .Estou aguardando..... | Esta faltando um produto .Estou aguardando.....', 'Estou aguardando a entrega do produto. | Estou aguardando a entrega do produto. | Estou aguardando a entrega do produto. | Estou no aguardo da entrega dos produtos. | Estou aguardando a entrega do produto.']",0.74368024
24,54,24_demorou demais_demorou chegar_prazo longo_longo entrega,"['demorou demais', 'demorou chegar', 'prazo longo', 'longo entrega', 'achei demorou', 'entrega longo', 'demais', 'prazo demorou', 'demorou entregar', 'demorando']","['Demorando demais para entregar....', 'Esta demorando muito para entrega | Esta demorando muito para entrega', 'Deveria ser entregue mais rápido está demorando muito']",0.6342801
25,53,25_comprei produto_recebi produto_produto demorou_compra ainda,"['comprei produto', 'recebi produto', 'produto demorou', 'compra ainda', 'produto ainda', 'comprado', 'ter comprado', 'ja comprei', 'entregue comprei', 'chegou produto']","['Já faz mais de 30 dias que o produto foi comprado e ainda não o recebi.', 'Estou em processo de devolução. Esperei mais de dois meses para receber uma mochila da Kipling. O modelo não é o que eu comprei, não é original é falso e não foi targaryen que me vendeu foi Gaste Pouco | Estou em processo de devolução. Esperei mais de dois meses para receber uma mochila da Kipling. O modelo não é o que eu comprei, não é original é falso e não foi targaryen que me vendeu foi Gaste Pouco | Estou em processo de devolução. Esperei mais de dois meses para receber uma mochila da Kipling. O modelo não é o que eu comprei, não é original é falso e não foi targaryen que me vendeu foi Gaste Pouco', 'Comprei há quase 2 meses e até o momento não recebi o produto. | Comprei há quase 2 meses e até o momento não recebi o produto.']",0.7462939
26,50,26_dinheiro volta_quero devolver_quero dinheiro_dinheiro comprei,"['dinheiro volta', 'quero devolver', 'quero dinheiro', 'dinheiro comprei', 'reembolso', 'dinheiro', 'volta recebi', 'produto dinheiro', 'devolução dinheiro', 'devolvê']","['Quero meu dinheiro de volta', 'Eu quero meu dinheiro de volta', 'quero meu dinheiro de volta']",0.6107604
27,49,27_produto ainda_mercadoria ainda_ainda produto_produto entregue,"['produto ainda', 'mercadoria ainda', 'ainda produto', 'produto entregue', 'agora produto', 'entregue produto', 'produto infelizmente', 'recebido produto', 'produto chegou', 'entrega produto']","['O produto ainda não foi entregue.', 'o produto ainda não foi entregue', 'O produto ainda não foi entregue. | O produto ainda não foi entregue.']",0.80638486
28,49,28_ainda nao_nada ainda_nao recebi_ainda obtive,"['ainda nao', 'nada ainda', 'nao recebi', 'ainda obtive', 'ainda recebi', 'obtive nenhuma', 'recebi ainda', 'chegou ainda', 'nada chegar', 'ainda ainda']","['ainda não recebi', 'Eu comprei 3 unidades do pendente de só veio 1 até agora e ainda não obtive nenhuma resposta até o momento não posso efetuar nenhuma avaliação | Eu comprei 3 unidades do pendente de só veio 1 até agora e ainda não obtive nenhuma resposta até o momento não posso efetuar nenhuma avaliação | Eu comprei 3 unidades do pendente de só veio 1 até agora e ainda não obtive nenhuma resposta até o momento não posso efetuar nenhuma avaliação', 'Ainda não recebi | Ainda não recebi']",0.69855946
29,48,29_problema entrega_recebi mail_entrega comprei_mail,"['problema entrega', 'recebi mail', 'entrega comprei', 'mail', 'entrega produto', 'mails', 'enviei mail', 'recebi mercadoria', 'entrega', 'recebido produto']","['Foi encaminhado ontem um E-mail informando que a mercadoria veio faltando, ate o momento não recebi nenhuma ligação e nem um contato que posso entrar. | Foi encaminhado ontem um E-mail informando que a mercadoria veio faltando, ate o momento não recebi nenhuma ligação e nem um contato que posso entrar. | Foi encaminhado ontem um E-mail informando que a mercadoria veio faltando, ate o momento não recebi nenhuma ligação e nem um contato que posso entrar.', 'Difícil de resolver um problema na entrega. Comprei 3 itens e foi entregue somente 1 e não tenho com quem falar. Só posso passar email e aguardar resposta. | Difícil de resolver um problema na entrega. Comprei 3 itens e foi entregue somente 1 e não tenho com quem falar. Só posso passar email e aguardar resposta. | Difícil de resolver um problema na entrega. Comprei 3 itens e foi entregue somente 1 e não tenho com quem falar. Só posso passar email e aguardar resposta.', 'Me informaram que ocorreu um problema na entrega, e até agora não entraram em contato comigo para esclarecer o que houve. Até agora não recebi o produto. | Me informaram que ocorreu um problema na entrega, e até agora não entraram em contato comigo para esclarecer o que houve. Até agora não recebi o produto. | Me informaram que ocorreu um problema na entrega, e até agora não entraram em contato comigo para esclarecer o que houve. Até agora não recebi o produto.']",0.6019455
30,48,30_produto bom_bom produto_produto ótima_produto chegou,"['produto bom', 'bom produto', 'produto ótima', 'produto chegou', 'produto antes', 'ótima qualidade', 'qualidade produto', 'bem embalado', 'produto entregue', 'produto entrega']","['Parabéns entrega antes da data prevista, um produto bom e barato som do produto muito bom corrir com ele não me incomodo não ficou caindo ou folgando no meu ouvido olha que corrir 8 km recomendo.', 'Produto bom e entrega antes do prazo.', 'a entrega foi feita no prazo, a qualidade do produto é regular, mas se for comparada ao preço está bom e fica bonito. Quanto a loja tudo ok. | a entrega foi feita no prazo, a qualidade do produto é regular, mas se for comparada ao preço está bom e fica bonito. Quanto a loja tudo ok. | a entrega foi feita no prazo, a qualidade do produto é regular, mas se for comparada ao preço está bom e fica bonito. Quanto a loja tudo ok.']",0.70034695
31,47,31_trocar produto_troca produto_quero trocar_devolver produto,"['trocar produto', 'troca produto', 'quero trocar', 'devolver produto', 'recebi produto', 'fazer troca', 'efetuar troca', 'troca', 'aguardo troca', 'quero devolver']","['Simplesmente assim, uma taca veio quebrada, tentei ver a substituição e o produto náo está mais disponível e pronto. Nao quero ficar sem 5 tacas, so quero receber uma pela quebrada. | Simplesmente assim, uma taca veio quebrada, tentei ver a substituição e o produto náo está mais disponível e pronto. Nao quero ficar sem 5 tacas, so quero receber uma pela quebrada.', 'Quero a troca', 'Quero troca meu produto.']",0.63608587
32,47,32_receberei_vou receber_prazo entrega_ainda prazo,"['receberei', 'vou receber', 'prazo entrega', 'ainda prazo', 'passou prazo', 'vai chegar', 'saber vou', 'gostaria saber', 'prazo', 'quero saber']","['Gostaria de saber quando vou receber meu relogio', 'Gostaria de saber se vou ou não receber. Se sim qual o prazo?', 'Gostaria de saber quando vou receber?']",0.66896516
33,44,33_pessimo_péssimo_ruim_lamentável,"['pessimo', 'péssimo', 'ruim', 'lamentável', 'péssimo atendimento', 'merda', 'chegou defeito', 'qualidade ruim', 'vergonha', 'insatisfeito']","[', muito ruim !', 'Muito ruim', 'Muito ruim | Muito ruim | Muito ruim | Muito ruim']",0.7017161
34,43,34_nao gostei_veio defeito_veio diferente_nenhuma satisfação,"['nao gostei', 'veio defeito', 'veio diferente', 'nenhuma satisfação', 'horrível', 'detestei', 'enganada', 'pouco', 'imaginava', 'deram nenhuma']","['Só não gostei do emtregado', 'Não gostei muito Rui', 'Não gostei do matéria das cotinas,achei muito veias. | Não gostei do matéria das cotinas,achei muito veias. | Não gostei do matéria das cotinas,achei muito veias. | Não gostei do matéria das cotinas,achei muito veias. | Não gostei do matéria das cotinas,achei muito veias. | Não gostei do matéria das cotinas,achei muito veias.']",0.5735466
35,42,35_produto errado_errado comprei_veio defeito_veio errado,"['produto errado', 'errado comprei', 'veio defeito', 'veio errado', 'recebi produto', 'produto má', 'errado pedi', 'errado', 'incorreto', 'faltando produto']","['Recebi o produto errado,pedi gotas e veio comprimido', 'Recebi o produto errado', 'Recebi o produto errado!']",0.640477
36,42,36_película vidro_vidro_película veio_película,"['película vidro', 'vidro', 'película veio', 'película', 'óculos', 'produto avariado', 'original produto', 'produto veio', 'espelho', 'aparelho']","['O produto chegou, no entanto não cobriu a tela toda como descrito e não é de gel, é película de vidro comum', 'Dos 3 itens que comprei, recebi apenas 1item. Foi rápida a entrega, que foi a película de vidro. Porém não atingiu as expectativas pois não cobriu toda a tela, e parece ser frágil. | Dos 3 itens que comprei, recebi apenas 1item. Foi rápida a entrega, que foi a película de vidro. Porém não atingiu as expectativas pois não cobriu toda a tela, e parece ser frágil. | Dos 3 itens que comprei, recebi apenas 1item. Foi rápida a entrega, que foi a película de vidro. Porém não atingiu as expectativas pois não cobriu toda a tela, e parece ser frágil.', 'minha película de vidro chegou toda trincada! preciso de uma inteira,']",0.47463033
37,42,37_bom produto_produto bom_produto boa_produto ótima,"['bom produto', 'produto bom', 'produto boa', 'produto ótima', 'recomendo produto', 'ótima qualidade', 'boa qualidade', 'produto recomendo', 'ma qualidade', 'produto qualidade']","['Bom produto', 'Bom produto.', 'bom produto']",0.82827234
38,41,38_cadeira_faltando peça_comprei chegou_veio faltando,"['cadeira', 'faltando peça', 'comprei chegou', 'veio faltando', 'veio quebrada', 'rasgada', 'rasgado', 'dia recebi', 'lateral', 'faltou']","['Comprei a cadeira com a previsão de entrega de 2 semanas, já fazem mas de 30 dias e nada da cadeira. Comprei a mesma cadeira em outro site para uma amiga, ela recebeu com 20 dias e eu a minha nada', 'comprei a cadeira em corino e veio em tecido!', 'Minha cadeira veio com a roda qurbrada']",0.53020966
